combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
109	40	20	0.35	0.01	0.13570190641247834	0.44316730523627074	0.6104725415070242	783	183.2618135376756	174.4227330779055
110	80	20	0.35	0.01	0.09670710571923744	0.3888888888888889	0.5734767025089605	558	163.71146953405017	167.7437275985663
111	5	40	0.35	0.01	0.23015597920277298	0.36596385542168675	0.5120481927710844	1533	206.83496412263537	167.62622309197653
112	10	40	0.35	0.01	0.21039861351819758	0.4258649093904448	0.5658978583196046	1310	201.57175572519083	170.84656488549618
113	20	40	0.35	0.01	0.18492201039861353	0.563261480787254	0.683223992502343	1067	191.86504217432054	174.9493908153702
114	40	40	0.35	0.01	0.1483535528596187	0.4567757009345794	0.6098130841121495	856	178.98598130841123	172.78504672897196
115	80	40	0.35	0.01	0.10537261698440208	0.3963815789473684	0.569078947368421	608	158.09046052631578	165.76644736842104
116	5	80	0.35	0.01	0.27937608318890816	0.3349875930521092	0.48635235732009924	1837	193.37724550898204	164.0930865541644
117	10	80	0.35	0.01	0.25528596187175046	0.38832315003394435	0.5342837746096402	1582	187.8906447534766	166.34134007585334
118	20	80	0.35	0.01	0.22045060658578855	0.5306603773584906	0.6509433962264151	1272	182.65959119496856	171.45833333333334
119	40	80	0.35	0.01	0.17504332755632582	0.42475247524752474	0.5782178217821782	1010	170.31386138613863	169.85247524752475
120	80	80	0.35	0.01	0.12305025996533796	0.3619718309859155	0.5394366197183098	710	150.2943661971831	162.65774647887324
121	5	160	0.35	0.01	0.4334488734835355	0.3074770091963215	0.48500599760095964	2747	166.4914452129596	155.25045504186386
122	10	160	0.35	0.01	0.40415944540727905	0.34777015437392794	0.5222984562607204	2460	160.26341463414633	155.75569105691056
123	20	160	0.35	0.01	0.34956672443674175	0.46504709965294994	0.6271690629647992	2017	151.59643034209222	159.82449181953396
124	40	160	0.35	0.01	0.27677642980935874	0.3938634940513463	0.5798371947401377	1597	142.07827175954915	159.65247338760176
125	80	160	0.35	0.01	0.20138648180242635	0.3442340791738382	0.5456110154905336	1162	127.80895008605852	157.0473321858864
126	5	10	0.025	0.025	1.0	0.7823223570190642	0.8547660311958406	6182	180.2376253639599	160.4411193788418
127	10	10	0.025	0.025	1.0	0.8240901213171578	0.88578856152513	6024	171.81059096945552	158.3891102257636
128	20	10	0.025	0.025	1.0	0.9499133448873484	0.9672443674176776	5801	157.31408377865884	156.1041199793139
129	40	10	0.025	0.025	0.9325823223570191	0.7381527597100911	0.8385058539304961	5402	136.62347278785634	151.3482043687523
130	80	10	0.025	0.025	0.7847487001733102	0.575530035335689	0.7449204946996466	4539	114.94734523022692	143.42101784534037
131	5	20	0.025	0.025	1.0	0.7826689774696707	0.8542461005199307	6181	179.91247370975572	160.20465944022004
132	10	20	0.025	0.025	1.0	0.8246100519930676	0.8852686308492201	6023	171.55918977253862	158.19242902208202
133	20	20	0.025	0.025	1.0	0.9512998266897746	0.9677642980935875	5801	156.98879503533874	155.95673159800035
134	40	20	0.025	0.025	0.9322357019064125	0.7371258598252464	0.8375162669641197	5399	136.59974069272087	151.23430264863865
135	80	20	0.025	0.025	0.7844020797227036	0.5744586831639417	0.7434821034025629	4537	114.8320476085519	143.48908970685474
136	5	40	0.025	0.025	1.0	0.7842287694974004	0.8556325823223571	6178	179.83149886694724	160.359339592101
137	10	40	0.025	0.025	1.0	0.8265164644714038	0.8864818024263431	6019	171.4744974248214	158.34191726200365
138	20	40	0.025	0.025	1.0	0.9537261698440208	0.9688041594454073	5795	156.69387402933563	156.17618636755824
139	40	40	0.025	0.025	0.9320623916811092	0.7374488657493492	0.83674228337672	5394	136.40192806822395	151.4608824619948
140	80	40	0.025	0.025	0.7838821490467938	0.573070970594738	0.7417643157196551	4531	114.8090929154712	143.83668064444936
141	5	80	0.025	0.025	0.9968804159445407	0.769471488178025	0.8457927677329624	6150	179.41951219512194	159.71772357723577
142	10	80	0.025	0.025	0.9965337954939342	0.8102608695652174	0.8761739130434782	5988	171.0382431529726	157.74766199064797
143	20	80	0.025	0.025	0.9948006932409013	0.9358885017421603	0.9571428571428572	5762	156.5801804928844	155.51145435612634
144	40	80	0.025	0.025	0.9261698440207973	0.7252994011976048	0.8278443113772455	5357	136.23725966025762	150.7717005786821
145	80	80	0.025	0.025	0.7781629116117851	0.5641425389755012	0.7367483296213808	4495	114.52057842046719	143.4035595105673
146	5	160	0.025	0.025	0.9798960138648181	0.7412451361867705	0.8257870534135126	6029	177.9688173826505	157.91441366727483
147	10	160	0.025	0.025	0.9771230502599654	0.7816601631784321	0.8557999290528556	5859	169.54719235364396	156.07543949479432
148	20	160	0.025	0.025	0.9712305025996534	0.9050678087080657	0.9375446109921485	5619	154.8074390460936	154.12582310019576
149	40	160	0.025	0.025	0.9006932409012132	0.7052145468539542	0.8154704637290745	5206	134.83634268152133	149.37956204379563
150	80	160	0.025	0.025	0.7566724436741767	0.549015116811727	0.7256069628950985	4370	113.05675057208238	141.75102974828374
151	5	10	0.05	0.025	1.0	0.789948006932409	0.8601386481802427	6181	181.18928975893868	160.3460605080084
152	10	10	0.05	0.025	1.0	0.8317157712305026	0.891161178509532	6023	172.78183629420553	158.24622281255188
153	20	10	0.05	0.025	0.9998266897746967	0.9582249956664933	0.9734789391575663	5796	158.38198757763976	155.95358868184954
154	40	10	0.05	0.025	0.9324090121317158	0.7475836431226766	0.846096654275093	5398	138.25453871804373	151.20025935531677
155	80	10	0.05	0.025	0.7847487001733102	0.581934628975265	0.7513250883392226	4539	115.78255122273629	143.4580304031725
156	5	20	0.05	0.025	1.0	0.7906412478336222	0.860311958405546	6179	180.98948049846254	160.12299724874575
157	10	20	0.05	0.025	1.0	0.832582322357019	0.8913344887348353	6021	172.6576980568012	158.06294635442617
158	20	20	0.05	0.025	0.9998266897746967	0.9597850580689894	0.9745189807592304	5795	158.18602243313202	155.82174288179465
159	40	20	0.05	0.025	0.9320623916811092	0.7473038304202305	0.8458534771290442	5395	138.36923076923077	151.09842446709916
160	80	20	0.05	0.025	0.7844020797227036	0.5817498895271763	0.7507733097657976	4536	115.8560405643739	143.43716931216932
161	5	40	0.05	0.025	1.0	0.7923743500866551	0.8610051993067591	6176	181.01716321243524	160.39086787564767
162	10	40	0.05	0.025	1.0	0.8350086655112652	0.8920277296360485	6017	172.69868705334883	158.37360811035398
163	20	40	0.05	0.025	1.0	0.962738301559792	0.9750433275563258	5793	158.20283100293457	156.2087001553599
164	40	40	0.05	0.025	0.9318890814558058	0.7485586758415473	0.844894922819416	5392	138.46198071216617	151.41913946587536
165	80	40	0.05	0.025	0.7838821490467938	0.5816935662171125	0.7490603581693567	4530	116.02229580573952	143.8101545253863
166	5	80	0.05	0.025	0.9965337954939342	0.780695652173913	0.8532173913043478	6147	180.72116479583536	159.78330893118596
167	10	80	0.05	0.025	0.9961871750433275	0.8220250521920668	0.8839596381350034	5985	172.37410192147036	157.8140350877193
168	20	80	0.05	0.025	0.9942807625649913	0.9485793968973331	0.9660101098134913	5758	158.23445640847515	155.59117749218478
169	40	80	0.05	0.025	0.925996533795494	0.7400336889387984	0.8388545760808535	5355	138.50065359477125	150.7281045751634
170	80	80	0.05	0.025	0.7781629116117851	0.5770601336302895	0.7469933184855234	4495	116.10255839822024	143.3793103448276
171	5	160	0.05	0.025	0.9795493934142114	0.7544232130219392	0.835102618542109	6027	179.41596150655383	157.90028206404514
172	10	160	0.05	0.025	0.9767764298093587	0.7952448545067423	0.865152590489709	5857	171.02919583404474	156.06026976267714
173	20	160	0.05	0.025	0.9703639514731369	0.9192712984461511	0.9474906233255939	5614	156.6961168507303	154.06857855361596
174	40	160	0.05	0.025	0.9005199306759099	0.7215165511932256	0.8281370284834488	5205	137.3008645533141	149.33006724303553
175	80	160	0.05	0.025	0.7564991334488734	0.5651775486827033	0.7383734249713632	4369	115.10688944838635	141.63035019455253
