technology	gene_old	gene_new	n_reads	pct_of_reads	into_orf_body
direct RNA	YOR034C	YOR033C	1	2.9e-05	False
direct RNA	YPL263C	YPL264C	1	2.9e-05	False
direct RNA	YNL194C	YNL195C	1	2.9e-05	False
direct RNA	YNL204C	YNL203C	1	2.9e-05	True
direct RNA	YNL248C	YNL249C	1	2.9e-05	False
direct RNA	YBL047C	YBL048W	1	2.9e-05	False
direct RNA	YNR057C	YNR058W	1	2.9e-05	False
direct RNA	YOR308C	YOR307C	1	2.9e-05	True
direct RNA	YAL023C	YAL024C	1	2.9e-05	False
direct RNA	YOR008W-B	YOR009W	1	2.9e-05	True
direct RNA	YKL198C	YKL197C	1	2.9e-05	False
direct RNA	YMR195W	YMR196W	1	2.9e-05	False
direct RNA	YER085C	YER084W	1	2.9e-05	False
direct RNA	YCR006C	YCR005C	1	2.9e-05	True
direct RNA	YHR212W-A	YHR212C	1	2.9e-05	False
direct RNA	YHR173C	YHR172W	1	2.9e-05	False
direct RNA	YHR147C	YHR148W	1	2.9e-05	False
direct RNA	YGR223C	YGR224W	1	2.9e-05	False
direct RNA	YGL198W	YGL197W	1	2.9e-05	False
direct RNA	YGL020C	YGL021W	1	2.9e-05	False
direct RNA	YDL037C	YDL039C	1	2.9e-05	True
direct RNA	YER056C	YER056C-A	1	2.9e-05	False
direct RNA	YIR005W	YIR006C	1	2.9e-05	False
direct RNA	YER055C	YER054C	1	2.9e-05	False
direct RNA	YEL004W	YEL005C	1	2.9e-05	False
direct RNA	YDR506C	YDR505C	1	2.9e-05	False
direct RNA	YDR368W	YDR369C	1	2.9e-05	False
direct RNA	YDR320C	YDR319C	1	2.9e-05	False
direct RNA	YDR086C	YDR085C	1	2.9e-05	False
direct RNA	YDR013W	YDR014W	1	2.9e-05	False
direct RNA	YDL232W	YDL231C	1	2.9e-05	False
direct RNA	YIL100W	YIL099W	1	2.9e-05	True
direct RNA	YJL077W-A	YJL078C	1	2.9e-05	False
direct RNA	YMR161W	YMR162C	1	2.9e-05	False
direct RNA	YBR227C	YBR228W	1	2.9e-05	False
direct RNA	YMR117C	YMR116C	1	2.9e-05	False
direct RNA	YMR020W	YMR019W	1	2.9e-05	False
direct RNA	YBR185C	YBR184W	1	2.9e-05	False
direct RNA	YML041C	YML042W	1	2.9e-05	False
direct RNA	YLR250W	YLR251W	1	2.9e-05	False
direct RNA	YLR200W	YLR202C	1	2.9e-05	False
direct RNA	YLR172C	YLR173W	1	2.9e-05	False
direct RNA	YBR211C	YBR210W	1	2.9e-05	False
direct RNA	YLR143W	YLR144C	1	2.9e-05	False
direct RNA	YJR036C	YJR035W	1	2.9e-05	False
short read	YLR154W-C	YLR154W-E	132277	0.441032	True
short read	YBL049W	YBL048W	6476	0.021592	True
short read	YIL065C	YIL064W	4322	0.01441	False
short read	YNL194C	YNL195C	2965	0.009886	False
short read	YAL055W	YAL054C	1684	0.005615	False
short read	YER055C	YER054C	1529	0.005098	False
